key,n,pf,net,wr,pos_years,years,worst_year,max_dd
breakout_h7_buf0_maxr80_atr_rr15,342,0.954,-53.81,40.4,4,7,-102.78,20.2
breakout_h7_buf0_maxr80_atr_rr20,340,0.992,-10.47,34.1,4,7,-107.72,21.9
breakout_h7_buf0_maxr80_range_rr15,274,0.856,-118.44,38.0,4,7,-116.62,21.6
breakout_h7_buf0_maxr80_range_rr20,265,0.966,-32.86,32.8,4,7,-110.2,20.6
breakout_h7_buf0_maxr999_atr_rr15,342,0.954,-53.81,40.4,4,7,-102.78,20.2
breakout_h7_buf0_maxr999_atr_rr20,340,0.992,-10.47,34.1,4,7,-107.72,21.9
breakout_h7_buf0_maxr999_range_rr15,274,0.856,-118.44,38.0,4,7,-116.62,21.6
breakout_h7_buf0_maxr999_range_rr20,265,0.966,-32.86,32.8,4,7,-110.2,20.6
breakout_h7_buf5_maxr80_atr_rr15,169,0.92,-44.67,40.2,3,7,-59.12,14.9
breakout_h7_buf5_maxr80_atr_rr20,169,1.03,19.44,34.9,3,7,-29.13,10.5
breakout_h7_buf5_maxr80_range_rr15,121,0.754,-88.44,35.5,3,7,-54.1,15.0
breakout_h7_buf5_maxr80_range_rr20,119,0.682,-123.21,26.9,1,7,-68.17,19.9
breakout_h7_buf5_maxr999_atr_rr15,169,0.92,-44.67,40.2,3,7,-59.12,14.9
breakout_h7_buf5_maxr999_atr_rr20,169,1.03,19.44,34.9,3,7,-29.13,10.5
breakout_h7_buf5_maxr999_range_rr15,121,0.754,-88.44,35.5,3,7,-54.1,15.0
breakout_h7_buf5_maxr999_range_rr20,119,0.682,-123.21,26.9,1,7,-68.17,19.9
breakout_h8_buf0_maxr80_atr_rr15,515,0.996,-7.22,41.4,4,7,-120.08,20.7
breakout_h8_buf0_maxr80_atr_rr20,505,0.968,-61.93,34.3,3,7,-95.68,23.1
breakout_h8_buf0_maxr80_range_rr15,348,0.986,-14.99,41.4,2,7,-37.02,12.9
breakout_h8_buf0_maxr80_range_rr20,329,0.917,-87.63,32.8,2,7,-61.1,17.0
breakout_h8_buf0_maxr999_atr_rr15,521,0.979,-34.41,41.1,4,7,-133.48,23.8
breakout_h8_buf0_maxr999_atr_rr20,511,0.968,-61.78,34.1,3,7,-119.2,22.3
breakout_h8_buf0_maxr999_range_rr15,348,0.986,-14.99,41.4,2,7,-37.02,12.9
breakout_h8_buf0_maxr999_range_rr20,329,0.917,-87.63,32.8,2,7,-61.1,17.0
breakout_h8_buf5_maxr80_atr_rr15,316,1.043,45.12,42.1,4,7,-62.34,13.2
breakout_h8_buf5_maxr80_atr_rr20,313,1.012,14.44,35.1,3,7,-36.7,14.8
breakout_h8_buf5_maxr80_range_rr15,191,1.051,28.56,42.9,4,7,-22.31,6.1
breakout_h8_buf5_maxr80_range_rr20,179,1.017,9.73,34.6,3,7,-18.55,9.6
breakout_h8_buf5_maxr999_atr_rr15,320,1.049,51.07,41.9,4,7,-73.29,13.4
breakout_h8_buf5_maxr999_atr_rr20,317,1.011,14.03,35.0,3,7,-49.73,14.7
breakout_h8_buf5_maxr999_range_rr15,191,1.051,28.56,42.9,4,7,-22.31,6.1
breakout_h8_buf5_maxr999_range_rr20,179,1.017,9.73,34.6,3,7,-18.55,9.6
fade_h7_buf0_maxr80_atr_rr15,341,0.892,-132.04,38.1,2,7,-106.65,41.1
fade_h7_buf0_maxr80_atr_rr20,341,0.945,-76.25,32.8,2,7,-103.12,33.0
fade_h7_buf0_maxr80_atr_band,343,0.867,-129.68,49.6,3,7,-83.74,35.2
fade_h7_buf0_maxr80_range_rr15,345,0.448,-597.37,31.9,0,7,-160.76,86.1
fade_h7_buf0_maxr80_range_rr20,345,0.499,-588.76,27.5,0,7,-203.11,85.4
fade_h7_buf0_maxr80_range_band,345,0.58,-572.93,20.0,0,7,-235.86,85.5
fade_h7_buf0_maxr999_atr_rr15,341,0.892,-132.04,38.1,2,7,-106.65,41.1
fade_h7_buf0_maxr999_atr_rr20,341,0.945,-76.25,32.8,2,7,-103.12,33.0
fade_h7_buf0_maxr999_atr_band,343,0.867,-129.68,49.6,3,7,-83.74,35.2
fade_h7_buf0_maxr999_range_rr15,348,0.45,-595.7,31.9,0,7,-159.44,85.9
fade_h7_buf0_maxr999_range_rr20,348,0.5,-585.21,27.6,0,7,-200.72,85.0
fade_h7_buf0_maxr999_range_band,348,0.584,-568.47,20.1,0,7,-236.9,84.8
fade_h7_buf5_maxr80_atr_rr15,168,0.844,-97.89,37.5,2,7,-77.98,28.1
fade_h7_buf5_maxr80_atr_rr20,168,0.896,-70.57,32.1,3,7,-79.46,21.9
fade_h7_buf5_maxr80_atr_band,168,0.821,-99.52,42.9,2,7,-74.78,24.8
fade_h7_buf5_maxr80_range_rr15,171,0.741,-175.12,35.7,3,7,-117.24,31.4
fade_h7_buf5_maxr80_range_rr20,171,0.732,-194.13,29.2,3,7,-154.56,34.7
fade_h7_buf5_maxr80_range_band,171,0.743,-189.01,26.3,2,7,-132.85,33.9
fade_h7_buf5_maxr999_atr_rr15,168,0.844,-97.89,37.5,2,7,-77.98,28.1
fade_h7_buf5_maxr999_atr_rr20,168,0.896,-70.57,32.1,3,7,-79.46,21.9
fade_h7_buf5_maxr999_atr_band,168,0.821,-99.52,42.9,2,7,-74.78,24.8
fade_h7_buf5_maxr999_range_rr15,174,0.72,-188.38,35.6,2,7,-115.98,31.3
fade_h7_buf5_maxr999_range_rr20,174,0.735,-194.04,29.3,3,7,-151.9,34.1
fade_h7_buf5_maxr999_range_band,174,0.739,-191.92,26.4,2,7,-132.1,33.3
fade_h8_buf0_maxr80_atr_rr15,514,0.864,-218.63,38.5,1,7,-77.44,33.6
fade_h8_buf0_maxr80_atr_rr20,509,0.904,-172.35,32.2,1,7,-56.14,28.5
fade_h8_buf0_maxr80_atr_band,516,0.835,-220.71,45.7,1,7,-60.12,33.8
fade_h8_buf0_maxr80_range_rr15,513,0.454,-676.86,29.6,0,7,-204.5,97.3
fade_h8_buf0_maxr80_range_rr20,510,0.497,-671.58,25.5,0,7,-196.85,96.8
fade_h8_buf0_maxr80_range_band,512,0.449,-686.38,18.8,0,7,-273.31,99.4
fade_h8_buf0_maxr999_atr_rr15,520,0.891,-182.18,38.7,2,7,-72.99,29.9
fade_h8_buf0_maxr999_atr_rr20,515,0.91,-165.01,32.4,2,7,-59.71,28.2
fade_h8_buf0_maxr999_atr_band,522,0.84,-219.52,46.0,1,7,-60.12,33.6
fade_h8_buf0_maxr999_range_rr15,522,0.466,-672.61,30.1,0,7,-199.46,96.7
fade_h8_buf0_maxr999_range_rr20,519,0.517,-666.16,26.0,0,7,-186.13,96.0
fade_h8_buf0_maxr999_range_band,521,0.591,-666.11,19.2,0,7,-183.46,96.9
fade_h8_buf5_maxr80_atr_rr15,317,0.777,-217.52,36.0,1,7,-87.27,32.4
fade_h8_buf5_maxr80_atr_rr20,315,0.84,-179.45,30.8,1,7,-57.21,29.2
fade_h8_buf5_maxr80_atr_band,317,0.785,-199.22,40.7,1,7,-58.4,30.5
fade_h8_buf5_maxr80_range_rr15,313,0.735,-293.02,35.5,1,7,-94.24,43.1
fade_h8_buf5_maxr80_range_rr20,312,0.788,-257.71,30.4,1,7,-102.18,40.6
fade_h8_buf5_maxr80_range_band,313,0.751,-299.12,25.9,1,7,-111.13,45.6
fade_h8_buf5_maxr999_atr_rr15,321,0.78,-218.93,36.1,1,7,-76.92,32.6
fade_h8_buf5_maxr999_atr_rr20,319,0.846,-177.53,31.0,1,7,-57.21,31.0
fade_h8_buf5_maxr999_atr_band,321,0.796,-194.14,40.8,0,7,-54.47,29.8
fade_h8_buf5_maxr999_range_rr15,320,0.753,-279.35,35.9,1,7,-86.38,41.2
fade_h8_buf5_maxr999_range_rr20,319,0.807,-241.51,31.0,1,7,-102.18,38.8
fade_h8_buf5_maxr999_range_band,320,0.775,-281.79,26.2,2,7,-111.58,44.2
