pair,key,n,pf,net,pos_years,worst_year
gbpusd,breakout_h7_buf0_maxr80_atr_rr15,518,0.721,-337.96,0,-145.24
gbpusd,breakout_h7_buf0_maxr80_atr_rr20,513,0.716,-370.21,0,-131.63
gbpusd,breakout_h7_buf0_maxr80_range_rr15,374,0.818,-192.27,1,-62.06
gbpusd,breakout_h7_buf0_maxr80_range_rr20,362,0.82,-201.97,1,-70.7
gbpusd,breakout_h7_buf0_maxr999_atr_rr15,522,0.724,-337.82,0,-141.89
gbpusd,breakout_h7_buf0_maxr999_atr_rr20,517,0.728,-360.02,0,-123.67
gbpusd,breakout_h7_buf0_maxr999_range_rr15,374,0.818,-192.27,1,-62.06
gbpusd,breakout_h7_buf0_maxr999_range_rr20,362,0.82,-201.97,1,-70.7
gbpusd,breakout_h7_buf5_maxr80_atr_rr15,337,0.679,-288.78,0,-112.63
gbpusd,breakout_h7_buf5_maxr80_atr_rr20,335,0.733,-271.84,0,-88.89
gbpusd,breakout_h7_buf5_maxr80_range_rr15,216,0.771,-142.37,1,-48.97
gbpusd,breakout_h7_buf5_maxr80_range_rr20,214,0.832,-120.21,2,-52.97
gbpusd,breakout_h7_buf5_maxr999_atr_rr15,340,0.682,-288.87,0,-112.63
gbpusd,breakout_h7_buf5_maxr999_atr_rr20,338,0.732,-276.08,0,-88.89
gbpusd,breakout_h7_buf5_maxr999_range_rr15,216,0.771,-142.37,1,-48.97
gbpusd,breakout_h7_buf5_maxr999_range_rr20,214,0.832,-120.21,2,-52.97
gbpusd,breakout_h8_buf0_maxr80_atr_rr15,641,0.859,-222.77,1,-106.11
gbpusd,breakout_h8_buf0_maxr80_atr_rr20,630,0.866,-248.92,1,-52.66
gbpusd,breakout_h8_buf0_maxr80_range_rr15,343,0.911,-83.51,3,-54.61
gbpusd,breakout_h8_buf0_maxr80_range_rr20,332,0.972,-29.26,4,-41.75
gbpusd,breakout_h8_buf0_maxr999_atr_rr15,654,0.85,-239.1,1,-93.53
gbpusd,breakout_h8_buf0_maxr999_atr_rr20,643,0.857,-268.64,1,-68.72
gbpusd,breakout_h8_buf0_maxr999_range_rr15,343,0.911,-83.51,3,-54.61
gbpusd,breakout_h8_buf0_maxr999_range_rr20,332,0.972,-29.26,4,-41.75
gbpusd,breakout_h8_buf5_maxr80_atr_rr15,442,0.933,-86.23,3,-69.01
gbpusd,breakout_h8_buf5_maxr80_atr_rr20,435,0.856,-203.5,1,-79.75
gbpusd,breakout_h8_buf5_maxr80_range_rr15,195,0.868,-72.85,2,-49.69
gbpusd,breakout_h8_buf5_maxr80_range_rr20,193,0.919,-48.43,3,-49.78
gbpusd,breakout_h8_buf5_maxr999_atr_rr15,453,0.927,-94.71,4,-85.15
gbpusd,breakout_h8_buf5_maxr999_atr_rr20,446,0.86,-204.05,2,-83.85
gbpusd,breakout_h8_buf5_maxr999_range_rr15,195,0.868,-72.85,2,-49.69
gbpusd,breakout_h8_buf5_maxr999_range_rr20,193,0.919,-48.43,3,-49.78
gbpusd,fade_h7_buf0_maxr80_atr_rr15,520,0.93,-120.46,2,-59.42
gbpusd,fade_h7_buf0_maxr80_atr_rr20,517,0.892,-193.0,2,-108.35
gbpusd,fade_h7_buf0_maxr80_atr_band,523,0.85,-194.96,2,-73.56
gbpusd,fade_h7_buf0_maxr80_range_rr15,531,0.475,-641.17,0,-204.07
gbpusd,fade_h7_buf0_maxr80_range_rr20,530,0.485,-647.91,1,-242.92
gbpusd,fade_h7_buf0_maxr80_range_band,531,0.546,-642.25,1,-186.17
gbpusd,fade_h7_buf0_maxr999_atr_rr15,524,0.935,-112.64,3,-59.42
gbpusd,fade_h7_buf0_maxr999_atr_rr20,520,0.893,-192.21,2,-103.56
gbpusd,fade_h7_buf0_maxr999_atr_band,527,0.855,-189.71,2,-73.56
gbpusd,fade_h7_buf0_maxr999_range_rr15,540,0.479,-644.46,0,-198.15
gbpusd,fade_h7_buf0_maxr999_range_rr20,539,0.488,-651.96,1,-236.91
gbpusd,fade_h7_buf0_maxr999_range_band,540,0.547,-645.44,1,-191.78
gbpusd,fade_h7_buf5_maxr80_atr_rr15,338,0.998,-2.1,4,-86.15
gbpusd,fade_h7_buf5_maxr80_atr_rr20,338,1.001,1.35,3,-85.82
gbpusd,fade_h7_buf5_maxr80_atr_band,339,0.903,-90.23,2,-67.56
gbpusd,fade_h7_buf5_maxr80_range_rr15,345,0.827,-201.89,2,-74.96
gbpusd,fade_h7_buf5_maxr80_range_rr20,345,0.754,-293.2,1,-92.75
gbpusd,fade_h7_buf5_maxr80_range_band,345,0.762,-291.96,1,-87.4
gbpusd,fade_h7_buf5_maxr999_atr_rr15,341,1.003,3.6,4,-84.31
gbpusd,fade_h7_buf5_maxr999_atr_rr20,341,0.996,-5.76,3,-75.96
gbpusd,fade_h7_buf5_maxr999_atr_band,342,0.93,-66.33,2,-70.51
gbpusd,fade_h7_buf5_maxr999_range_rr15,352,0.815,-218.75,2,-83.68
gbpusd,fade_h7_buf5_maxr999_range_rr20,352,0.746,-306.18,1,-95.99
gbpusd,fade_h7_buf5_maxr999_range_band,352,0.754,-306.74,1,-86.37
gbpusd,fade_h8_buf0_maxr80_atr_rr15,641,0.882,-247.22,2,-107.37
gbpusd,fade_h8_buf0_maxr80_atr_rr20,635,0.916,-197.38,2,-125.85
gbpusd,fade_h8_buf0_maxr80_atr_band,643,0.892,-192.97,2,-97.72
gbpusd,fade_h8_buf0_maxr80_range_rr15,645,0.519,-694.09,0,-170.22
gbpusd,fade_h8_buf0_maxr80_range_rr20,642,0.558,-686.56,0,-165.95
gbpusd,fade_h8_buf0_maxr80_range_band,644,0.605,-686.87,0,-167.17
gbpusd,fade_h8_buf0_maxr999_atr_rr15,653,0.878,-257.53,1,-89.33
gbpusd,fade_h8_buf0_maxr999_atr_rr20,646,0.904,-227.75,2,-124.36
gbpusd,fade_h8_buf0_maxr999_atr_band,655,0.888,-203.77,2,-103.5
gbpusd,fade_h8_buf0_maxr999_range_rr15,670,0.531,-693.04,0,-169.56
gbpusd,fade_h8_buf0_maxr999_range_rr20,667,0.562,-686.02,0,-170.87
gbpusd,fade_h8_buf0_maxr999_range_band,668,0.602,-689.84,0,-165.57
gbpusd,fade_h8_buf5_maxr80_atr_rr15,443,0.908,-135.54,2,-62.83
gbpusd,fade_h8_buf5_maxr80_atr_rr20,440,0.958,-73.57,2,-124.65
gbpusd,fade_h8_buf5_maxr80_atr_band,444,0.878,-160.45,2,-78.77
gbpusd,fade_h8_buf5_maxr80_range_rr15,445,0.704,-392.94,0,-97.15
gbpusd,fade_h8_buf5_maxr80_range_rr20,444,0.732,-381.09,1,-98.18
gbpusd,fade_h8_buf5_maxr80_range_band,444,0.773,-342.91,1,-126.24
gbpusd,fade_h8_buf5_maxr999_atr_rr15,455,0.907,-142.67,2,-71.4
gbpusd,fade_h8_buf5_maxr999_atr_rr20,451,0.954,-82.63,2,-141.6
gbpusd,fade_h8_buf5_maxr999_atr_band,456,0.878,-165.02,2,-79.59
gbpusd,fade_h8_buf5_maxr999_range_rr15,465,0.714,-395.93,0,-104.76
gbpusd,fade_h8_buf5_maxr999_range_rr20,464,0.737,-383.59,1,-98.1
gbpusd,fade_h8_buf5_maxr999_range_band,464,0.723,-408.73,0,-122.68
audusd,breakout_h7_buf0_maxr80_atr_rr15,346,0.803,-225.13,2,-156.57
audusd,breakout_h7_buf0_maxr80_atr_rr20,342,0.804,-237.61,3,-157.07
audusd,breakout_h7_buf0_maxr80_range_rr15,241,0.919,-61.32,3,-136.49
audusd,breakout_h7_buf0_maxr80_range_rr20,228,0.841,-126.33,4,-130.97
audusd,breakout_h7_buf0_maxr999_atr_rr15,355,0.809,-222.34,2,-160.31
audusd,breakout_h7_buf0_maxr999_atr_rr20,351,0.8,-239.97,3,-151.98
audusd,breakout_h7_buf0_maxr999_range_rr15,241,0.919,-61.32,3,-136.49
audusd,breakout_h7_buf0_maxr999_range_rr20,228,0.841,-126.33,4,-130.97
audusd,breakout_h7_buf5_maxr80_atr_rr15,151,0.859,-80.45,3,-80.42
audusd,breakout_h7_buf5_maxr80_atr_rr20,149,0.799,-120.66,2,-84.25
audusd,breakout_h7_buf5_maxr80_range_rr15,87,0.956,-11.45,4,-50.23
audusd,breakout_h7_buf5_maxr80_range_rr20,85,0.876,-35.71,2,-48.14
audusd,breakout_h7_buf5_maxr999_atr_rr15,159,0.857,-83.75,4,-78.71
audusd,breakout_h7_buf5_maxr999_atr_rr20,157,0.809,-119.92,2,-84.25
audusd,breakout_h7_buf5_maxr999_range_rr15,87,0.956,-11.45,4,-50.23
audusd,breakout_h7_buf5_maxr999_range_rr20,85,0.876,-35.71,2,-48.14
audusd,breakout_h8_buf0_maxr80_atr_rr15,374,0.767,-247.97,1,-126.77
audusd,breakout_h8_buf0_maxr80_atr_rr20,368,0.757,-264.66,1,-124.63
audusd,breakout_h8_buf0_maxr80_range_rr15,225,0.836,-114.89,2,-70.6
audusd,breakout_h8_buf0_maxr80_range_rr20,220,0.856,-108.5,3,-68.79
audusd,breakout_h8_buf0_maxr999_atr_rr15,386,0.764,-255.45,2,-132.4
audusd,breakout_h8_buf0_maxr999_atr_rr20,380,0.717,-301.98,0,-151.12
audusd,breakout_h8_buf0_maxr999_range_rr15,225,0.836,-114.89,2,-70.6
audusd,breakout_h8_buf0_maxr999_range_rr20,220,0.856,-108.5,3,-68.79
audusd,breakout_h8_buf5_maxr80_atr_rr15,187,0.743,-156.51,1,-69.88
audusd,breakout_h8_buf5_maxr80_atr_rr20,183,0.671,-211.18,0,-64.6
audusd,breakout_h8_buf5_maxr80_range_rr15,100,0.604,-124.72,1,-41.36
audusd,breakout_h8_buf5_maxr80_range_rr20,98,0.618,-128.31,1,-51.93
