key,n,pf,net,exp,wr,max_dd,pos_years,years,worst_year,drought_d
bb15d2.0_rsi30_adx25_sl1.0_24h_bandTP,477,0.755,-380.93,-0.799,31.2,61.8,1,7,-94.9,32
bb15d2.0_rsi30_adx25_sl1.0_24h_rr15,479,0.701,-416.82,-0.87,33.2,63.5,1,7,-107.04,32
bb15d2.0_rsi30_adx25_sl1.0_24h_rr20,477,0.71,-425.56,-0.892,27.5,66.2,1,7,-99.82,32
bb15d2.0_rsi30_adx25_sl1.0_24h_bandTPtrW,487,0.702,-377.36,-0.775,42.3,58.8,1,7,-95.43,32
bb15d2.0_rsi30_adx25_sl1.0_8-16_bandTP,352,0.765,-316.1,-0.898,28.4,57.2,1,7,-138.61,55
bb15d2.0_rsi30_adx25_sl1.0_8-16_rr15,353,0.673,-374.03,-1.06,32.6,59.2,1,7,-144.17,55
bb15d2.0_rsi30_adx25_sl1.0_8-16_rr20,352,0.684,-380.37,-1.081,26.7,61.5,1,7,-129.9,55
bb15d2.0_rsi30_adx25_sl1.0_8-16_bandTPtrW,358,0.719,-304.28,-0.85,41.1,52.2,1,7,-125.73,55
bb15d2.0_rsi30_adx25_sl1.5_24h_bandTP,422,0.792,-237.23,-0.562,42.9,40.2,1,7,-65.94,32
bb15d2.0_rsi30_adx25_sl1.5_24h_rr15,422,0.782,-273.61,-0.648,35.8,44.0,1,7,-77.64,32
bb15d2.0_rsi30_adx25_sl1.5_24h_rr20,420,0.83,-250.59,-0.597,30.5,47.0,3,7,-104.6,32
bb15d2.0_rsi30_adx25_sl1.5_24h_bandTPtrW,432,0.704,-262.94,-0.609,52.5,41.8,1,7,-69.85,32
bb15d2.0_rsi30_adx25_sl1.5_8-16_bandTP,314,0.82,-166.4,-0.53,41.1,33.5,2,7,-65.66,55
bb15d2.0_rsi30_adx25_sl1.5_8-16_rr15,314,0.741,-252.54,-0.804,34.7,40.3,0,7,-63.28,55
bb15d2.0_rsi30_adx25_sl1.5_8-16_rr20,314,0.82,-198.21,-0.631,30.6,36.4,2,7,-112.62,55
bb15d2.0_rsi30_adx25_sl1.5_8-16_bandTPtrW,320,0.756,-178.17,-0.557,52.2,32.1,2,7,-73.36,55
bb15d2.0_rsi30_adx100_sl1.0_24h_bandTP,1418,0.821,-594.41,-0.419,33.6,88.5,1,7,-265.71,21
bb15d2.0_rsi30_adx100_sl1.0_24h_rr15,1427,0.775,-625.13,-0.438,34.8,91.9,0,7,-135.95,21
bb15d2.0_rsi30_adx100_sl1.0_24h_rr20,1417,0.801,-627.27,-0.443,29.1,92.5,0,7,-199.14,21
bb15d2.0_rsi30_adx100_sl1.0_24h_bandTPtrW,1453,0.785,-580.73,-0.4,45.0,85.5,1,7,-175.77,21
bb15d2.0_rsi30_adx100_sl1.0_8-16_bandTP,1000,0.803,-522.71,-0.523,31.6,78.4,1,7,-237.47,22
bb15d2.0_rsi30_adx100_sl1.0_8-16_rr15,1006,0.74,-570.32,-0.567,33.8,84.1,0,7,-115.01,22
bb15d2.0_rsi30_adx100_sl1.0_8-16_rr20,1001,0.754,-585.13,-0.585,28.6,86.0,0,7,-179.18,22
bb15d2.0_rsi30_adx100_sl1.0_8-16_bandTPtrW,1022,0.779,-497.99,-0.487,44.2,73.9,1,7,-169.74,22
bb15d2.0_rsi30_adx100_sl1.5_24h_bandTP,1168,0.83,-419.08,-0.359,45.1,64.4,1,7,-124.28,21
bb15d2.0_rsi30_adx100_sl1.5_24h_rr15,1144,0.829,-435.37,-0.381,37.2,65.8,1,7,-146.11,21
bb15d2.0_rsi30_adx100_sl1.5_24h_rr20,1134,0.848,-434.77,-0.383,31.2,68.7,0,7,-156.7,21
bb15d2.0_rsi30_adx100_sl1.5_24h_bandTPtrW,1213,0.805,-408.3,-0.337,55.2,63.4,1,7,-124.04,21
bb15d2.0_rsi30_adx100_sl1.5_8-16_bandTP,841,0.798,-384.28,-0.457,42.7,58.4,0,7,-124.08,22
bb15d2.0_rsi30_adx100_sl1.5_8-16_rr15,832,0.792,-420.16,-0.505,35.9,62.2,1,7,-169.11,22
bb15d2.0_rsi30_adx100_sl1.5_8-16_rr20,829,0.83,-389.78,-0.47,30.4,58.7,1,7,-185.41,22
bb15d2.0_rsi30_adx100_sl1.5_8-16_bandTPtrW,869,0.761,-385.67,-0.444,54.0,58.1,1,7,-140.45,22
bb15d2.0_rsi35_adx25_sl1.0_24h_bandTP,1108,0.73,-580.81,-0.524,32.7,85.3,0,7,-233.26,18
bb15d2.0_rsi35_adx25_sl1.0_24h_rr15,1111,0.721,-615.25,-0.554,33.8,89.8,0,7,-184.37,18
bb15d2.0_rsi35_adx25_sl1.0_24h_rr20,1104,0.707,-621.89,-0.563,27.9,91.4,0,7,-219.49,18
bb15d2.0_rsi35_adx25_sl1.0_24h_bandTPtrW,1130,0.728,-554.33,-0.491,43.0,82.2,0,7,-134.24,18
bb15d2.0_rsi35_adx25_sl1.0_8-16_bandTP,782,0.714,-510.95,-0.653,29.9,75.6,0,7,-179.1,29
bb15d2.0_rsi35_adx25_sl1.0_8-16_rr15,785,0.703,-525.58,-0.67,33.5,78.0,0,7,-126.31,29
bb15d2.0_rsi35_adx25_sl1.0_8-16_rr20,782,0.688,-536.15,-0.686,27.5,79.9,0,7,-191.17,29
bb15d2.0_rsi35_adx25_sl1.0_8-16_bandTPtrW,794,0.69,-511.7,-0.644,40.7,76.7,0,7,-130.57,29
bb15d2.0_rsi35_adx25_sl1.5_24h_bandTP,945,0.798,-394.07,-0.417,44.0,59.7,0,7,-90.49,18
bb15d2.0_rsi35_adx25_sl1.5_24h_rr15,933,0.794,-430.22,-0.461,36.4,67.2,0,7,-89.0,18
bb15d2.0_rsi35_adx25_sl1.5_24h_rr20,908,0.818,-414.04,-0.456,30.5,68.6,1,7,-131.96,18
bb15d2.0_rsi35_adx25_sl1.5_24h_bandTPtrW,974,0.745,-406.86,-0.418,53.0,62.3,1,7,-95.27,18
bb15d2.0_rsi35_adx25_sl1.5_8-16_bandTP,677,0.754,-370.26,-0.547,41.9,55.1,0,7,-96.12,29
bb15d2.0_rsi35_adx25_sl1.5_8-16_rr15,676,0.744,-395.84,-0.586,35.7,59.4,0,7,-95.06,29
bb15d2.0_rsi35_adx25_sl1.5_8-16_rr20,663,0.777,-379.31,-0.572,29.6,57.0,1,7,-117.36,29
bb15d2.0_rsi35_adx25_sl1.5_8-16_bandTPtrW,694,0.72,-360.26,-0.519,51.4,55.8,0,7,-81.21,29
