bb_period,bb_dev,rsi_os,adx_thr,sl_atr,is_n,is_wr,is_pf,is_net,is_exp,oos_n,oos_wr,oos_pf,oos_net,oos_exp
15,1.5,25.0,20.0,1.0,20,50.0,0.78,-14.59,-0.7297,9,77.8,1.78,10.28,1.1424
15,1.5,25.0,20.0,1.5,20,50.0,0.50,-29.52,-1.4758,8,87.5,2.13,5.78,0.7221
15,1.5,25.0,20.0,2.0,18,61.1,0.62,-13.24,-0.7355,8,87.5,1.34,2.29,0.2858
15,1.5,25.0,25.0,1.0,53,56.6,0.82,-26.85,-0.5066,30,63.3,1.07,5.37,0.1791
15,1.5,25.0,25.0,1.5,48,66.7,0.88,-11.94,-0.2487,28,82.1,1.85,22.36,0.7986
15,1.5,25.0,25.0,2.0,42,73.8,1.01,0.28,0.0067,27,85.2,2.03,19.28,0.7139
15,1.5,25.0,30.0,1.0,101,60.4,0.88,-31.98,-0.3166,65,69.2,1.38,47.52,0.7311
15,1.5,25.0,30.0,1.5,89,70.8,0.98,-3.47,-0.0390,59,83.1,2.16,61.48,1.0421
15,1.5,25.0,30.0,2.0,81,76.5,1.19,18.14,0.2239,57,86.0,1.72,34.92,0.6126
15,1.5,30.0,20.0,1.0,71,66.2,1.44,78.13,1.1004,34,73.5,1.66,45.02,1.3240
15,1.5,30.0,20.0,1.5,68,69.1,1.19,25.24,0.3712,32,81.2,1.68,27.90,0.8719
15,1.5,30.0,20.0,2.0,65,75.4,1.28,24.18,0.3720,32,81.2,1.37,12.46,0.3894
15,1.5,30.0,25.0,1.0,177,66.1,1.22,99.44,0.5618,99,61.6,0.94,-18.32,-0.1850
15,1.5,30.0,25.0,1.5,161,72.0,1.11,32.91,0.2044,92,72.8,0.99,-2.30,-0.0250
15,1.5,30.0,25.0,2.0,148,77.0,1.22,40.80,0.2757,87,78.2,0.98,-1.80,-0.0207
15,1.5,30.0,30.0,1.0,302,65.9,1.16,124.19,0.4112,155,65.2,1.00,2.03,0.0131
15,1.5,30.0,30.0,1.5,271,73.4,1.16,80.37,0.2966,136,76.5,1.27,59.49,0.4375
15,1.5,30.0,30.0,2.0,247,77.7,1.34,99.79,0.4040,124,79.8,1.21,32.29,0.2604
15,1.5,35.0,20.0,1.0,232,65.9,1.31,209.01,0.9009,129,65.9,1.13,50.79,0.3937
15,1.5,35.0,20.0,1.5,207,71.0,1.20,81.43,0.3934,121,70.2,0.94,-14.55,-0.1203
15,1.5,35.0,20.0,2.0,197,75.1,1.18,54.89,0.2786,112,73.2,0.94,-10.07,-0.0899
15,1.5,35.0,25.0,1.0,468,63.7,1.11,146.65,0.3133,266,63.2,1.00,1.53,0.0058
15,1.5,35.0,25.0,1.5,413,70.0,1.03,26.90,0.0651,239,72.0,1.02,8.68,0.0363
15,1.5,35.0,25.0,2.0,380,75.0,1.10,56.01,0.1474,213,76.5,1.05,14.97,0.0703
15,1.5,35.0,30.0,1.0,674,63.6,1.09,172.23,0.2555,377,65.3,1.04,40.35,0.1070
