key,n,pf,net,wr,pos_years,years,worst_year,max_dd
lb5_h0_th0.0_sl1.5_flip,898,0.905,-340.31,18.0,2,7,-209.03,62.6
lb5_h0_th0.0_sl1.5_flip_rr20,1664,0.879,-461.2,31.7,0,7,-113.26,69.6
lb5_h0_th0.0_sl2.5_flip,752,0.934,-166.25,23.3,2,7,-138.65,43.6
lb5_h0_th0.0_sl2.5_flip_rr20,1225,0.846,-444.08,29.8,1,7,-114.49,68.4
lb5_h0_th0.002_sl1.5_flip,694,0.943,-193.13,17.6,2,7,-201.11,50.2
lb5_h0_th0.002_sl1.5_flip_rr20,1387,0.896,-383.6,32.7,0,7,-120.94,60.8
lb5_h0_th0.002_sl2.5_flip,563,0.976,-53.46,24.5,2,7,-143.27,31.1
lb5_h0_th0.002_sl2.5_flip_rr20,985,0.886,-304.98,31.6,1,7,-100.73,51.1
lb5_h8_th0.0_sl1.5_flip,878,0.96,-223.86,21.0,3,7,-219.08,67.0
lb5_h8_th0.0_sl1.5_flip_rr20,1690,0.905,-454.28,32.7,1,7,-157.47,66.7
lb5_h8_th0.0_sl2.5_flip,733,0.973,-81.57,26.5,3,7,-152.58,47.1
lb5_h8_th0.0_sl2.5_flip_rr20,1258,0.917,-306.65,32.5,2,7,-132.07,55.1
lb5_h8_th0.002_sl1.5_flip,710,0.952,-204.25,18.0,3,7,-199.89,64.2
lb5_h8_th0.002_sl1.5_flip_rr20,1409,0.867,-468.96,31.7,0,7,-131.59,69.2
lb5_h8_th0.002_sl2.5_flip,576,0.935,-155.92,23.6,3,7,-158.88,48.5
lb5_h8_th0.002_sl2.5_flip_rr20,1025,0.88,-352.41,31.0,2,7,-99.49,57.3
lb10_h0_th0.0_sl1.5_flip,793,0.725,-457.01,18.0,2,7,-231.13,75.4
lb10_h0_th0.0_sl1.5_flip_rr20,1667,0.866,-479.75,31.5,2,7,-229.71,76.8
lb10_h0_th0.0_sl2.5_flip,654,0.702,-423.42,22.9,2,7,-161.61,66.9
lb10_h0_th0.0_sl2.5_flip_rr20,1214,0.811,-523.7,30.1,1,7,-132.7,76.9
lb10_h0_th0.002_sl1.5_flip,658,0.727,-471.09,15.7,2,7,-213.89,72.2
lb10_h0_th0.002_sl1.5_flip_rr20,1442,0.866,-467.58,31.9,2,7,-217.39,76.2
lb10_h0_th0.002_sl2.5_flip,525,0.648,-478.13,21.3,2,7,-153.24,70.5
lb10_h0_th0.002_sl2.5_flip_rr20,1028,0.793,-542.82,30.3,1,7,-137.12,79.9
lb10_h8_th0.0_sl1.5_flip,824,0.752,-506.58,16.6,2,7,-258.04,74.1
lb10_h8_th0.0_sl1.5_flip_rr20,1696,0.846,-557.35,31.1,0,7,-139.05,80.3
lb10_h8_th0.0_sl2.5_flip,658,0.763,-386.51,22.6,1,7,-222.63,61.1
lb10_h8_th0.0_sl2.5_flip_rr20,1234,0.804,-565.66,30.4,0,7,-128.93,83.0
