entry_time,exit_time,direction,strategy,entry_price,exit_price,sl_price,tp_price,sl_pips,tp_pips,volume_units,pnl_pips,pnl_usd,exit_reason,bars_held
2023-02-01T08:00:00,2023-02-01T13:00:00,Buy,Breakout,1.08882,1.08970,1.08970,1.09482,20.0,60.0,3000,+8.81,+2.4341,Trail,5
2023-02-14T08:00:00,2023-02-14T09:00:00,Buy,Breakout,1.07496,1.07548,1.07548,1.08096,20.0,60.0,3000,+5.23,+1.3602,Trail,1
2023-02-14T09:00:00,2023-02-14T13:00:00,Buy,Breakout,1.07622,1.07917,1.07917,1.08222,20.0,60.0,3000,+29.50,+8.6387,Trail,4
2023-02-20T07:00:00,2023-02-20T09:00:00,Buy,Breakout,1.07025,1.06825,1.06825,1.07625,20.0,60.0,3000,-20.00,-6.2100,SL,2
2023-02-22T09:00:00,2023-02-22T15:00:00,Sell,Breakout,1.06365,1.06565,1.06565,1.05765,20.0,60.0,3000,-20.00,-6.2100,SL,4
2023-02-23T09:00:00,2023-02-23T12:00:00,Sell,Breakout,1.05898,1.06098,1.06098,1.05298,20.0,60.0,3000,-20.00,-6.2100,SL,2
2023-03-22T09:00:00,2023-03-22T19:00:00,Buy,Breakout,1.07876,1.08795,1.08795,1.08476,20.0,60.0,3000,+91.92,+27.3664,Trail,5
2023-05-17T08:00:00,2023-05-17T14:00:00,Sell,Breakout,1.08307,1.08263,1.08263,1.07707,20.0,60.0,3000,+4.35,+1.0961,Trail,4
2023-05-24T11:00:00,2023-05-24T13:00:00,Sell,Breakout,1.07503,1.07703,1.07703,1.06903,20.0,60.0,3000,-20.00,-6.2100,SL,1
2023-05-25T07:00:00,2023-05-25T08:00:00,Sell,Breakout,1.07311,1.07270,1.07270,1.06711,20.0,60.0,3000,+4.10,+1.0203,Trail,1
2023-06-13T08:00:00,2023-06-13T13:00:00,Buy,Breakout,1.08005,1.08116,1.08116,1.08605,20.0,60.0,3000,+11.13,+3.1285,Trail,4
2023-06-27T11:00:00,2023-06-27T14:00:00,Buy,Breakout,1.09523,1.09643,1.09643,1.10123,20.0,60.0,3000,+11.97,+3.3805,Trail,1
2023-08-10T08:00:00,2023-08-10T09:00:00,Buy,Breakout,1.10093,1.10157,1.10157,1.10693,20.0,60.0,3000,+6.36,+1.6970,Trail,1
2023-08-10T11:00:00,2023-08-10T13:00:00,Buy,Breakout,1.10287,1.10542,1.10542,1.10887,20.0,60.0,3000,+25.46,+7.4277,Trail,2
2023-08-21T12:00:00,2023-08-21T14:00:00,Buy,Breakout,1.09104,1.08904,1.08904,1.09704,20.0,60.0,3000,-20.00,-6.2100,SL,2
2023-08-22T07:00:00,2023-08-22T08:00:00,Buy,Breakout,1.09189,1.09206,1.09206,1.09789,20.0,60.0,3000,+1.72,+0.3050,Trail,1
2023-08-22T08:00:00,2023-08-22T10:00:00,Buy,Breakout,1.09265,1.09065,1.09065,1.09865,20.0,60.0,3000,-20.00,-6.2100,SL,2
2023-08-23T08:00:00,2023-08-23T12:00:00,Sell,Breakout,1.08169,1.08167,1.08167,1.07569,20.0,60.0,3000,+0.17,-0.1597,Trail,4
2023-08-25T08:00:00,2023-08-25T10:00:00,Sell,Breakout,1.07702,1.07902,1.07902,1.07102,20.0,60.0,3000,-20.00,-6.2100,SL,2
2023-09-05T09:00:00,2023-09-05T13:00:00,Sell,Breakout,1.07471,1.07272,1.07272,1.06871,20.0,60.0,3000,+19.86,+5.7480,Trail,4
2023-09-19T11:00:00,2023-09-19T13:00:00,Buy,Breakout,1.07014,1.07077,1.07077,1.07614,20.0,60.0,3000,+6.33,+1.6905,Trail,2
2023-09-26T07:00:00,2023-09-26T09:00:00,Sell,Breakout,1.05706,1.05906,1.05906,1.05106,20.0,60.0,3000,-20.00,-6.2100,SL,2
2023-09-27T12:00:00,2023-09-27T14:00:00,Sell,Breakout,1.05384,1.05230,1.05230,1.04784,20.0,60.0,3000,+15.37,+4.4019,Trail,2
2023-09-29T07:00:00,2023-09-29T08:00:00,Buy,Breakout,1.05909,1.05983,1.05983,1.06509,20.0,60.0,3000,+7.37,+1.9997,Trail,1
2023-09-29T08:00:00,2023-09-29T12:00:00,Buy,Breakout,1.06072,1.05943,1.05872,1.06672,20.0,60.0,3000,-12.90,-4.0800,FriClose,4
2023-10-13T11:00:00,2023-10-13T12:00:00,Sell,Breakout,1.05169,1.05244,1.05369,1.04569,20.0,60.0,3000,-7.50,-2.4600,FriClose,1
2023-10-17T12:00:00,2023-10-17T13:00:00,Buy,Breakout,1.05762,1.05562,1.05562,1.06362,20.0,60.0,3000,-20.00,-6.2100,SL,1
2023-10-25T10:00:00,2023-10-25T15:00:00,Sell,Breakout,1.05679,1.05879,1.05879,1.05079,20.0,60.0,3000,-20.00,-6.2100,SL,5
2023-10-31T08:00:00,2023-10-31T09:00:00,Buy,Breakout,1.06463,1.06619,1.06619,1.07063,20.0,60.0,3000,+15.56,+4.4586,Trail,1
2023-11-01T09:00:00,2023-11-01T13:00:00,Sell,Breakout,1.05482,1.05337,1.05337,1.04882,20.0,60.0,3000,+14.46,+4.1282,Trail,4
2023-11-02T09:00:00,2023-11-02T12:00:00,Buy,Breakout,1.06246,1.06542,1.06542,1.06846,20.0,60.0,3000,+29.58,+8.6645,Trail,3
2023-11-06T08:00:00,2023-11-06T15:00:00,Buy,Breakout,1.07511,1.07311,1.07311,1.08111,20.0,60.0,3000,-20.00,-6.2100,SL,7
2023-11-07T09:00:00,2023-11-07T11:00:00,Sell,Breakout,1.06826,1.06756,1.06756,1.06226,20.0,60.0,3000,+7.01,+1.8918,Trail,2
2023-11-07T11:00:00,2023-11-07T18:00:00,Sell,Breakout,1.06728,1.06928,1.06928,1.06128,20.0,60.0,3000,-20.00,-6.2100,SL,7
2023-11-14T09:00:00,2023-11-14T10:00:00,Buy,Breakout,1.07166,1.07212,1.07212,1.07766,20.0,60.0,3000,+4.64,+1.1808,Trail,1
2023-11-14T10:00:00,2023-11-14T13:00:00,Buy,Breakout,1.07227,1.07904,1.07904,1.07827,20.0,60.0,3000,+67.68,+20.0929,Trail,3
2023-11-20T09:00:00,2023-11-20T17:00:00,Buy,Breakout,1.09376,1.09393,1.09393,1.09976,20.0,60.0,3000,+1.65,+0.2857,Trail,8
2023-11-22T08:00:00,2023-11-22T09:00:00,Sell,Breakout,1.08845,1.09045,1.09045,1.08245,20.0,60.0,3000,-20.00,-6.2100,SL,1
2023-12-12T10:00:00,2023-12-12T13:00:00,Buy,Breakout,1.08020,1.08173,1.08173,1.08620,20.0,60.0,3000,+15.25,+4.3651,Trail,3
2023-12-19T12:00:00,2023-12-19T14:00:00,Buy,Breakout,1.09696,1.09724,1.09724,1.10296,20.0,60.0,3000,+2.80,+0.6303,Trail,2
2023-12-22T10:00:00,2023-12-22T12:00:00,Buy,Breakout,1.10201,1.10266,1.10266,1.10801,20.0,60.0,3000,+6.53,+1.7483,Trail,2
2023-12-27T12:00:00,2023-12-27T14:00:00,Buy,Breakout,1.10693,1.10962,1.10962,1.11293,20.0,60.0,3000,+26.91,+7.8645,Trail,2
2023-12-28T09:00:00,2023-12-28T13:00:00,Buy,Breakout,1.11302,1.11102,1.11102,1.11902,20.0,60.0,3000,-20.00,-6.2100,SL,4
2023-12-29T09:00:00,2023-12-29T11:00:00,Sell,Breakout,1.10480,1.10680,1.10680,1.09880,20.0,60.0,3000,-20.00,-6.2100,SL,2
2024-01-02T07:00:00,2024-01-02T08:00:00,Sell,Breakout,1.10143,1.10343,1.10343,1.09543,20.0,60.0,3000,-20.00,-6.2100,SL,1
2024-01-03T09:00:00,2024-01-03T11:00:00,Sell,Breakout,1.09352,1.09280,1.09280,1.08752,20.0,60.0,3000,+7.19,+1.9475,Trail,2
2024-01-03T11:00:00,2024-01-03T15:00:00,Sell,Breakout,1.09185,1.09107,1.09107,1.08585,20.0,60.0,3000,+7.76,+2.1175,Trail,4
2024-01-04T09:00:00,2024-01-04T11:00:00,Buy,Breakout,1.09685,1.09485,1.09485,1.10285,20.0,60.0,3000,-20.00,-6.2100,SL,2
2024-01-16T08:00:00,2024-01-16T09:00:00,Sell,Breakout,1.09036,1.08954,1.08954,1.08436,20.0,60.0,3000,+8.18,+2.2444,Trail,1
2024-01-16T09:00:00,2024-01-16T13:00:00,Sell,Breakout,1.08850,1.08838,1.08838,1.08250,20.0,60.0,3000,+1.23,+0.1577,Trail,4
2024-01-23T10:00:00,2024-01-23T14:00:00,Sell,Breakout,1.08684,1.08596,1.08596,1.08084,20.0,60.0,3000,+8.85,+2.4439,Trail,4
2024-01-26T07:00:00,2024-01-26T08:00:00,Sell,Breakout,1.08184,1.08384,1.08384,1.07584,20.0,60.0,3000,-20.00,-6.2100,SL,1
2024-02-02T09:00:00,2024-02-02T12:00:00,Buy,Breakout,1.08918,1.08803,1.08718,1.09518,20.0,60.0,3000,-11.50,-3.6600,FriClose,3
2024-02-05T08:00:00,2024-02-05T09:00:00,Sell,Breakout,1.07657,1.07646,1.07646,1.07057,20.0,60.0,3000,+1.13,+0.1292,Trail,1
2024-02-05T09:00:00,2024-02-05T13:00:00,Sell,Breakout,1.07527,1.07495,1.07495,1.06927,20.0,60.0,3000,+3.24,+0.7628,Trail,4
2024-02-07T07:00:00,2024-02-07T13:00:00,Buy,Breakout,1.07735,1.07754,1.07754,1.08335,20.0,60.0,3000,+1.89,+0.3556,Trail,6
2024-02-12T07:00:00,2024-02-12T08:00:00,Buy,Breakout,1.08041,1.07841,1.07841,1.08641,20.0,60.0,3000,-20.00,-6.2100,SL,1
2024-02-15T12:00:00,2024-02-15T13:00:00,Buy,Breakout,1.07459,1.07647,1.07647,1.08059,20.0,60.0,3000,+18.77,+5.4207,Trail,1
2024-02-20T10:00:00,2024-02-20T13:00:00,Buy,Breakout,1.08048,1.08164,1.08164,1.08648,20.0,60.0,3000,+11.62,+3.2765,Trail,3
2024-02-22T07:00:00,2024-02-22T08:00:00,Buy,Breakout,1.08541,1.08792,1.08792,1.09141,20.0,60.0,3000,+25.11,+7.3221,Trail,1
2024-02-22T08:00:00,2024-02-22T09:00:00,Buy,Breakout,1.08724,1.08524,1.08524,1.09324,20.0,60.0,3000,-20.00,-6.2100,SL,1
2024-02-26T10:00:00,2024-02-26T12:00:00,Buy,Breakout,1.08488,1.08516,1.08516,1.09088,20.0,60.0,3000,+2.79,+0.6268,Trail,2
2024-02-28T08:00:00,2024-02-28T09:00:00,Sell,Breakout,1.08080,1.08043,1.08043,1.07480,20.0,60.0,3000,+3.69,+0.8958,Trail,1
2024-02-28T09:00:00,2024-02-28T12:00:00,Sell,Breakout,1.07990,1.08190,1.08190,1.07390,20.0,60.0,3000,-20.00,-6.2100,SL,3
2024-03-19T07:00:00,2024-03-19T08:00:00,Sell,Breakout,1.08537,1.08495,1.08495,1.07937,20.0,60.0,3000,+4.17,+1.0413,Trail,1
2024-03-19T08:00:00,2024-03-19T09:00:00,Sell,Breakout,1.08465,1.08424,1.08424,1.07865,20.0,60.0,3000,+4.10,+1.0205,Trail,1
2024-03-22T07:00:00,2024-03-22T08:00:00,Sell,Breakout,1.08236,1.08185,1.08185,1.07636,20.0,60.0,3000,+5.14,+1.3316,Trail,1
2024-03-22T08:00:00,2024-03-22T12:00:00,Sell,Breakout,1.08104,1.08304,1.08304,1.07504,20.0,60.0,3000,-20.00,-6.2100,SL,4
2024-03-26T09:00:00,2024-03-26T10:00:00,Buy,Breakout,1.08546,1.08567,1.08567,1.09146,20.0,60.0,3000,+2.14,+0.4325,Trail,1
2024-03-28T07:00:00,2024-03-28T08:00:00,Sell,Breakout,1.07997,1.07976,1.07976,1.07397,20.0,60.0,3000,+2.15,+0.4341,Trail,1
2024-03-28T08:00:00,2024-03-28T09:00:00,Sell,Breakout,1.07909,1.07833,1.07833,1.07309,20.0,60.0,3000,+7.63,+2.0788,Trail,1
2024-03-29T07:00:00,2024-03-29T10:00:00,Sell,Breakout,1.07670,1.07870,1.07870,1.07070,20.0,60.0,3000,-20.00,-6.2100,SL,3
2024-04-03T12:00:00,2024-04-03T14:00:00,Buy,Breakout,1.07848,1.07851,1.07851,1.08448,20.0,60.0,3000,+0.34,-0.1092,Trail,2
2024-04-04T08:00:00,2024-04-04T13:00:00,Buy,Breakout,1.08581,1.08622,1.08622,1.09181,20.0,60.0,3000,+4.11,+1.0226,Trail,5
2024-04-09T10:00:00,2024-04-09T13:00:00,Buy,Breakout,1.08659,1.08764,1.08764,1.09259,20.0,60.0,3000,+10.46,+2.9275,Trail,3
2024-04-11T07:00:00,2024-04-11T09:00:00,Sell,Breakout,1.07273,1.07473,1.07473,1.06673,20.0,60.0,3000,-20.00,-6.2100,SL,2
2024-04-12T07:00:00,2024-04-12T09:00:00,Sell,Breakout,1.06818,1.06815,1.06815,1.06218,20.0,60.0,3000,+0.27,-0.1292,Trail,2
2024-04-23T08:00:00,2024-04-23T10:00:00,Buy,Breakout,1.06803,1.06603,1.06603,1.07403,20.0,60.0,3000,-20.00,-6.2100,SL,2
2024-04-25T07:00:00,2024-04-25T13:00:00,Buy,Breakout,1.07214,1.07317,1.07317,1.07814,20.0,60.0,3000,+10.34,+2.8932,Trail,6
2024-04-26T09:00:00,2024-04-26T12:00:00,Buy,Breakout,1.07418,1.07218,1.07218,1.08018,20.0,60.0,3000,-20.00,-6.2100,SL,3
2024-05-03T09:00:00,2024-05-03T12:00:00,Buy,Breakout,1.07435,1.07455,1.07235,1.08035,20.0,60.0,3000,+2.00,+0.3900,FriClose,3
2024-05-17T09:00:00,2024-05-17T12:00:00,Sell,Breakout,1.08431,1.08431,1.08631,1.07831,20.0,60.0,3000,+0.00,-0.2100,FriClose,3
2024-05-22T11:00:00,2024-05-22T12:00:00,Sell,Breakout,1.08365,1.08293,1.08293,1.07765,20.0,60.0,3000,+7.17,+1.9414,Trail,1
2024-05-22T12:00:00,2024-05-22T18:00:00,Sell,Breakout,1.08264,1.08464,1.08464,1.07664,20.0,60.0,3000,-20.00,-6.2100,SL,6
2024-05-27T10:00:00,2024-05-27T13:00:00,Buy,Breakout,1.08681,1.08481,1.08481,1.09281,20.0,60.0,3000,-20.00,-6.2100,SL,3
