entry_time,exit_time,direction,strategy,entry_price,exit_price,sl_price,tp_price,sl_pips,tp_pips,volume_units,pnl_pips,pnl_usd,exit_reason,bars_held
2023-01-05T14:00:00,2023-01-05T15:00:00,Sell,Breakout,1.05381,1.05357,1.05357,1.04440,31.4,94.1,2000,+2.39,+0.3372,Trail,1
2023-01-05T15:00:00,2023-01-06T13:00:00,Sell,Breakout,1.05171,1.05055,1.05055,1.04128,34.8,104.3,2000,+11.63,+2.1860,Trail,22
2023-01-06T17:00:00,2023-01-06T20:00:00,Buy,Breakout,1.06384,1.06462,1.05992,1.07561,39.2,117.7,1000,+7.80,+0.7100,FriClose,3
2023-01-09T13:00:00,2023-01-09T15:00:00,Buy,Breakout,1.07259,1.07284,1.07284,1.08190,31.0,93.1,2000,+2.50,+0.3601,Trail,2
2023-01-09T15:00:00,2023-01-11T14:00:00,Buy,Breakout,1.07410,1.07551,1.07551,1.08361,31.7,95.1,2000,+14.07,+2.6732,Trail,47
2023-01-11T14:00:00,2023-01-11T16:00:00,Buy,Breakout,1.07706,1.07468,1.07468,1.08420,23.8,71.4,2000,-23.80,-4.9006,SL,2
2023-01-12T13:00:00,2023-01-12T14:00:00,Buy,Breakout,1.08297,1.07984,1.07984,1.09237,31.3,94.0,2000,-31.34,-6.4079,SL,1
2023-01-12T17:00:00,2023-01-13T11:00:00,Buy,Breakout,1.08495,1.08096,1.08096,1.09693,39.9,119.8,1000,-39.92,-4.0617,SL,18
2023-01-18T09:00:00,2023-01-18T11:00:00,Buy,Breakout,1.08707,1.08401,1.08401,1.09625,30.6,91.8,2000,-30.59,-6.2585,SL,2
2023-01-23T07:00:00,2023-01-23T11:00:00,Buy,Breakout,1.09151,1.08904,1.08904,1.09892,24.7,74.1,2000,-24.72,-5.0833,SL,4
2023-01-26T15:00:00,2023-01-26T18:00:00,Sell,Breakout,1.08541,1.08824,1.08824,1.07691,28.3,85.0,2000,-28.34,-5.8076,SL,3
2023-01-27T15:00:00,2023-01-27T16:00:00,Sell,Breakout,1.08375,1.08639,1.08639,1.07584,26.4,79.1,2000,-26.35,-5.4104,SL,1
2023-01-30T09:00:00,2023-01-30T14:00:00,Buy,Breakout,1.09026,1.08799,1.08799,1.09708,22.7,68.2,2000,-22.74,-4.6877,SL,5
2023-01-31T08:00:00,2023-01-31T09:00:00,Sell,Breakout,1.08022,1.08239,1.08239,1.07372,21.7,65.0,3000,-21.66,-6.7077,SL,1
2023-02-01T08:00:00,2023-02-01T13:00:00,Buy,Breakout,1.08882,1.08970,1.08970,1.09457,19.2,57.5,3000,+8.81,+2.4341,Trail,5
2023-02-01T13:00:00,2023-02-01T15:00:00,Buy,Breakout,1.09049,1.09118,1.09118,1.09629,19.3,58.0,3000,+6.91,+1.8625,Trail,2
2023-02-01T15:00:00,2023-02-01T19:00:00,Buy,Breakout,1.09206,1.09714,1.09714,1.09852,21.5,64.6,3000,+50.76,+15.0166,Trail,4
2023-02-01T19:00:00,2023-02-01T20:00:00,Buy,Breakout,1.09787,1.09809,1.09809,1.10689,30.1,90.2,2000,+2.16,+0.2916,Trail,1
2023-02-03T13:00:00,2023-02-03T15:00:00,Sell,Breakout,1.08386,1.08330,1.08330,1.07314,35.7,107.2,1000,+5.58,+0.4885,Trail,2
2023-02-06T09:00:00,2023-02-06T14:00:00,Sell,Breakout,1.07654,1.07570,1.07570,1.06838,27.2,81.6,2000,+8.38,+1.5352,Trail,5
2023-02-06T14:00:00,2023-02-06T15:00:00,Sell,Breakout,1.07433,1.07404,1.07404,1.06604,27.6,82.9,2000,+2.89,+0.4373,Trail,1
2023-02-06T15:00:00,2023-02-06T19:00:00,Sell,Breakout,1.07292,1.07281,1.07281,1.06441,28.4,85.1,2000,+1.08,+0.0760,Trail,4
2023-02-07T13:00:00,2023-02-07T15:00:00,Sell,Breakout,1.06941,1.06843,1.06843,1.06255,22.9,68.6,2000,+9.85,+1.8297,Trail,2
2023-02-09T10:00:00,2023-02-09T16:00:00,Buy,Breakout,1.07782,1.07570,1.07570,1.08419,21.2,63.7,3000,-21.22,-6.5752,SL,6
2023-02-10T09:00:00,2023-02-10T12:00:00,Sell,Breakout,1.07054,1.06966,1.06966,1.06355,23.3,69.9,2000,+8.76,+1.6126,Trail,3
2023-02-10T12:00:00,2023-02-10T14:00:00,Sell,Breakout,1.06821,1.07064,1.07064,1.06093,24.3,72.8,2000,-24.28,-4.9959,SL,2
2023-02-10T15:00:00,2023-02-10T20:00:00,Sell,Breakout,1.06757,1.06788,1.07023,1.05959,26.6,79.8,2000,-3.10,-0.7600,FriClose,5
2023-02-14T08:00:00,2023-02-14T09:00:00,Buy,Breakout,1.07496,1.07548,1.07548,1.08034,17.9,53.8,3000,+5.23,+1.3602,Trail,1
2023-02-14T09:00:00,2023-02-14T13:00:00,Buy,Breakout,1.07622,1.07917,1.07917,1.08194,19.1,57.2,3000,+29.50,+8.6387,Trail,4
2023-02-15T12:00:00,2023-02-15T13:00:00,Sell,Breakout,1.06964,1.06900,1.06900,1.06233,24.4,73.1,2000,+6.35,+1.1306,Trail,1
2023-02-15T13:00:00,2023-02-15T17:00:00,Sell,Breakout,1.06818,1.06791,1.06791,1.06036,26.1,78.2,2000,+2.73,+0.4056,Trail,4
2023-02-17T11:00:00,2023-02-17T14:00:00,Sell,Breakout,1.06246,1.06464,1.06464,1.05593,21.8,65.3,3000,-21.77,-6.7422,SL,3
2023-02-20T07:00:00,2023-02-20T09:00:00,Buy,Breakout,1.07025,1.06833,1.06833,1.07602,19.2,57.7,3000,-19.23,-5.9780,SL,2
2023-02-22T09:00:00,2023-02-22T15:00:00,Sell,Breakout,1.06365,1.06557,1.06557,1.05788,19.2,57.7,3000,-19.23,-5.9782,SL,4
2023-02-23T09:00:00,2023-02-23T12:00:00,Sell,Breakout,1.05898,1.06089,1.06089,1.05324,19.1,57.4,3000,-19.13,-5.9476,SL,2
2023-02-23T16:00:00,2023-02-24T00:00:00,Sell,Breakout,1.05812,1.06037,1.06037,1.05136,22.5,67.6,2000,-22.52,-4.6445,SL,4
2023-02-24T12:00:00,2023-02-24T14:00:00,Sell,Breakout,1.05651,1.05489,1.05489,1.05064,19.6,58.7,3000,+16.16,+4.6379,Trail,1
2023-02-28T08:00:00,2023-02-28T14:00:00,Buy,Breakout,1.06167,1.06269,1.06269,1.06784,20.6,61.7,3000,+10.19,+2.8471,Trail,4
2023-03-01T07:00:00,2023-03-01T11:00:00,Buy,Breakout,1.06425,1.06575,1.06575,1.07163,24.6,73.8,2000,+15.00,+2.8594,Trail,3
2023-03-07T18:00:00,2023-03-08T07:00:00,Sell,Breakout,1.05548,1.05438,1.05438,1.04663,29.5,88.5,2000,+11.03,+2.0663,Trail,10
2023-03-10T14:00:00,2023-03-10T20:00:00,Buy,Breakout,1.06672,1.06369,1.06369,1.07582,30.3,91.0,2000,-30.34,-6.2086,SL,3
2023-03-15T10:00:00,2023-03-15T13:00:00,Sell,Breakout,1.06259,1.05463,1.05463,1.05174,36.2,108.5,1000,+79.59,+7.8887,Trail,1
2023-03-21T09:00:00,2023-03-21T10:00:00,Buy,Breakout,1.07472,1.07486,1.07486,1.08185,23.8,71.3,2000,+1.36,+0.1327,Trail,1
2023-03-21T10:00:00,2023-03-21T14:00:00,Buy,Breakout,1.07643,1.07661,1.07661,1.08383,24.7,74.0,2000,+1.75,+0.2103,Trail,2
2023-03-22T09:00:00,2023-03-22T19:00:00,Buy,Breakout,1.07876,1.08795,1.08795,1.08460,19.5,58.4,3000,+91.92,+27.3664,Trail,5
2023-03-22T19:00:00,2023-03-23T06:00:00,Buy,Breakout,1.08663,1.09102,1.09102,1.09535,29.1,87.2,2000,+43.92,+8.6438,Trail,9
2023-03-24T09:00:00,2023-03-24T15:00:00,Sell,Breakout,1.07246,1.07596,1.07596,1.06197,35.0,104.9,2000,-34.95,-7.1306,SL,3
2023-03-28T16:00:00,2023-03-29T08:00:00,Buy,Breakout,1.08437,1.08214,1.08214,1.09106,22.3,66.9,3000,-22.31,-6.9023,SL,12
2023-03-29T10:00:00,2023-03-29T14:00:00,Buy,Breakout,1.08607,1.08405,1.08405,1.09213,20.2,60.6,3000,-20.20,-6.2692,SL,2
2023-03-30T09:00:00,2023-03-30T14:00:00,Buy,Breakout,1.08740,1.09111,1.09111,1.09421,22.7,68.1,2000,+37.07,+7.2740,Trail,3
2023-04-04T08:00:00,2023-04-04T13:00:00,Buy,Breakout,1.09260,1.09021,1.09021,1.09978,23.9,71.8,2000,-23.93,-4.9255,SL,4
2023-04-04T16:00:00,2023-04-05T15:00:00,Buy,Breakout,1.09516,1.09188,1.09188,1.10501,32.8,98.5,2000,-32.82,-6.7037,SL,17
2023-04-10T13:00:00,2023-04-11T01:00:00,Sell,Breakout,1.08479,1.08685,1.08685,1.07862,20.6,61.7,3000,-20.58,-6.3826,SL,6
2023-04-12T13:00:00,2023-04-12T16:00:00,Buy,Breakout,1.09648,1.09715,1.09715,1.10376,24.3,72.8,2000,+6.73,+1.2050,Trail,1
2023-04-13T09:00:00,2023-04-13T10:00:00,Buy,Breakout,1.10156,1.10176,1.10176,1.10786,21.0,63.0,3000,+2.00,+0.3903,Trail,1
2023-04-13T14:00:00,2023-04-14T14:00:00,Buy,Breakout,1.10655,1.10391,1.10391,1.11447,26.4,79.2,2000,-26.42,-5.4233,SL,17
2023-04-17T14:00:00,2023-04-17T20:00:00,Sell,Breakout,1.09310,1.09279,1.09279,1.08575,24.5,73.5,2000,+3.07,+0.4736,Trail,3
2023-04-24T09:00:00,2023-04-24T14:00:00,Buy,Breakout,1.10096,1.10173,1.10173,1.10726,21.0,63.0,3000,+7.69,+2.0977,Trail,3
2023-04-24T18:00:00,2023-04-25T05:00:00,Buy,Breakout,1.10449,1.10510,1.10510,1.11169,24.0,72.0,2000,+6.09,+1.0778,Trail,8
2023-05-02T10:00:00,2023-05-02T12:00:00,Sell,Breakout,1.09516,1.09752,1.09752,1.08809,23.6,70.7,2000,-23.58,-4.8558,SL,1
2023-05-02T14:00:00,2023-05-02T16:00:00,Sell,Breakout,1.09424,1.09678,1.09678,1.08662,25.4,76.2,2000,-25.39,-5.2181,SL,1
2023-05-03T15:00:00,2023-05-03T19:00:00,Buy,Breakout,1.10537,1.10763,1.10763,1.11224,22.9,68.7,2000,+22.63,+4.3868,Trail,2
2023-05-03T19:00:00,2023-05-04T01:00:00,Buy,Breakout,1.10609,1.10696,1.10696,1.11401,26.4,79.2,2000,+8.69,+1.5987,Trail,3
2023-05-05T13:00:00,2023-05-05T15:00:00,Sell,Breakout,1.09749,1.10014,1.10014,1.08953,26.5,79.6,2000,-26.53,-5.4465,SL,1
2023-05-09T13:00:00,2023-05-09T19:00:00,Sell,Breakout,1.09490,1.09698,1.09698,1.08866,20.8,62.4,3000,-20.80,-6.4489,SL,3
2023-05-11T07:00:00,2023-05-11T14:00:00,Sell,Breakout,1.09293,1.09167,1.09167,1.08584,23.6,70.9,2000,+12.65,+2.3895,Trail,5
2023-05-11T14:00:00,2023-05-12T05:00:00,Sell,Breakout,1.09006,1.09258,1.09258,1.08250,25.2,75.6,2000,-25.18,-5.1769,SL,10
2023-05-12T12:00:00,2023-05-12T20:00:00,Sell,Breakout,1.08909,1.08517,1.08626,1.08271,21.3,63.8,3000,+39.20,+11.5500,FriClose,4
2023-05-17T08:00:00,2023-05-17T14:00:00,Sell,Breakout,1.08307,1.08263,1.08263,1.07783,17.5,52.4,3000,+4.35,+1.0961,Trail,4
2023-05-17T14:00:00,2023-05-17T16:00:00,Sell,Breakout,1.08142,1.08343,1.08343,1.07538,20.1,60.4,3000,-20.14,-6.2508,SL,1
2023-05-18T13:00:00,2023-05-18T15:00:00,Sell,Breakout,1.07890,1.07801,1.07801,1.07296,19.8,59.4,3000,+8.91,+2.4631,Trail,1
2023-05-18T15:00:00,2023-05-19T07:00:00,Sell,Breakout,1.07682,1.07890,1.07890,1.07057,20.8,62.5,3000,-20.85,-6.4639,SL,11
2023-05-24T11:00:00,2023-05-24T13:00:00,Sell,Breakout,1.07503,1.07699,1.07699,1.06914,19.6,58.9,3000,-19.63,-6.0977,SL,1
2023-05-25T07:00:00,2023-05-25T08:00:00,Sell,Breakout,1.07311,1.07270,1.07270,1.06726,19.5,58.5,3000,+4.10,+1.0203,Trail,1
2023-05-25T08:00:00,2023-05-26T05:00:00,Sell,Breakout,1.07198,1.07400,1.07400,1.06593,20.2,60.5,3000,-20.15,-6.2556,SL,14
2023-05-31T09:00:00,2023-05-31T12:00:00,Sell,Breakout,1.06587,1.06794,1.06794,1.05967,20.7,62.0,3000,-20.66,-6.4088,SL,2
2023-05-31T16:00:00,2023-05-31T20:00:00,Sell,Breakout,1.06515,1.06765,1.06765,1.05766,25.0,74.9,2000,-24.96,-5.1317,SL,2
2023-06-08T13:00:00,2023-06-08T16:00:00,Buy,Breakout,1.07478,1.07705,1.07705,1.08048,19.0,57.0,3000,+22.74,+6.6126,Trail,1
2023-06-08T16:00:00,2023-06-09T10:00:00,Buy,Breakout,1.07798,1.07583,1.07583,1.08444,21.5,64.6,2000,-21.53,-4.4461,SL,14
2023-06-13T08:00:00,2023-06-13T13:00:00,Buy,Breakout,1.08005,1.08116,1.08116,1.08535,17.7,53.0,3000,+11.13,+3.1285,Trail,4
2023-06-13T13:00:00,2023-06-13T15:00:00,Buy,Breakout,1.08151,1.07943,1.07943,1.08775,20.8,62.4,3000,-20.80,-6.4500,SL,1
2023-06-14T13:00:00,2023-06-14T15:00:00,Buy,Breakout,1.08321,1.08428,1.08428,1.08929,20.3,60.8,3000,+10.70,+2.9987,Trail,1
2023-06-14T15:00:00,2023-06-14T19:00:00,Buy,Breakout,1.08567,1.08352,1.08352,1.09212,21.5,64.5,2000,-21.51,-4.4420,SL,2
2023-06-15T13:00:00,2023-06-15T15:00:00,Buy,Breakout,1.08653,1.09023,1.09023,1.09507,28.5,85.4,2000,+37.02,+7.2644,Trail,1
2023-06-15T15:00:00,2023-06-16T07:00:00,Buy,Breakout,1.09115,1.09407,1.09407,1.10091,32.5,97.6,1000,+29.21,+2.8506,Trail,11
2023-06-21T17:00:00,2023-06-22T08:00:00,Buy,Breakout,1.09715,1.09855,1.09855,1.10361,21.5,64.6,2000,+14.05,+2.6697,Trail,11
2023-06-23T08:00:00,2023-06-23T09:00:00,Sell,Breakout,1.08675,1.08639,1.08639,1.07982,23.1,69.3,2000,+3.61,+0.5822,Trail,1
2023-06-23T09:00:00,2023-06-23T13:00:00,Sell,Breakout,1.08481,1.08723,1.08723,1.07755,24.2,72.6,2000,-24.21,-4.9819,SL,3
2023-06-27T11:00:00,2023-06-27T14:00:00,Buy,Breakout,1.09523,1.09643,1.09643,1.10078,18.5,55.5,3000,+11.97,+3.3805,Trail,1
2023-06-30T08:00:00,2023-06-30T09:00:00,Sell,Breakout,1.08553,1.08486,1.08486,1.07949,20.1,60.4,3000,+6.69,+1.7961,Trail,1
2023-06-30T09:00:00,2023-06-30T12:00:00,Sell,Breakout,1.08378,1.08588,1.08588,1.07749,21.0,62.9,3000,-20.98,-6.5025,SL,2
2023-07-07T15:00:00,2023-07-10T04:00:00,Buy,Breakout,1.09499,1.09545,1.09545,1.10336,27.9,83.7,2000,+4.60,+0.7805,Trail,8
2023-07-10T15:00:00,2023-07-11T06:00:00,Buy,Breakout,1.09756,1.10069,1.10069,1.10436,22.7,68.0,2000,+31.30,+6.1197,Trail,10
2023-07-12T13:00:00,2023-07-12T15:00:00,Buy,Breakout,1.10590,1.11093,1.11093,1.11221,21.0,63.1,3000,+50.28,+14.8746,Trail,1
2023-07-12T15:00:00,2023-07-13T06:00:00,Buy,Breakout,1.11212,1.11309,1.11309,1.12008,26.5,79.6,2000,+9.72,+1.8038,Trail,11
2023-07-13T08:00:00,2023-07-13T10:00:00,Buy,Breakout,1.11563,1.11601,1.11601,1.12198,21.2,63.5,3000,+3.78,+0.9242,Trail,2
2023-07-13T10:00:00,2023-07-13T14:00:00,Buy,Breakout,1.11737,1.11800,1.11800,1.12405,22.3,66.8,2000,+6.35,+1.1295,Trail,2
2023-07-13T14:00:00,2023-07-13T18:00:00,Buy,Breakout,1.11952,1.12036,1.12036,1.12623,22.4,67.1,2000,+8.39,+1.5383,Trail,2
2023-07-13T18:00:00,2023-07-14T06:00:00,Buy,Breakout,1.12166,1.12274,1.12274,1.12863,23.2,69.7,2000,+10.80,+2.0204,Trail,9
2023-07-20T13:00:00,2023-07-20T15:00:00,Sell,Breakout,1.11815,1.11547,1.11547,1.11178,21.2,63.7,3000,+26.83,+7.8403,Trail,1
2023-07-20T15:00:00,2023-07-20T17:00:00,Sell,Breakout,1.11457,1.11350,1.11350,1.10710,24.9,74.7,2000,+10.71,+2.0021,Trail,1
2023-07-20T17:00:00,2023-07-21T20:00:00,Sell,Breakout,1.11231,1.11254,1.11492,1.10447,26.1,78.4,2000,-2.30,-0.6000,FriClose,18
2023-07-24T08:00:00,2023-07-25T02:00:00,Sell,Breakout,1.10800,1.10761,1.10761,1.10086,23.8,71.4,2000,+3.94,+0.6479,Trail,11
2023-07-25T10:00:00,2023-07-25T14:00:00,Sell,Breakout,1.10413,1.10399,1.10399,1.09767,21.5,64.6,3000,+1.44,+0.2209,Trail,2
2023-07-25T14:00:00,2023-07-26T06:00:00,Sell,Breakout,1.10375,1.10597,1.10597,1.09708,22.2,66.7,3000,-22.23,-6.8775,SL,11
2023-07-26T19:00:00,2023-07-27T01:00:00,Buy,Breakout,1.11045,1.10806,1.10806,1.11763,23.9,71.8,2000,-23.93,-4.9265,SL,3
2023-07-27T08:00:00,2023-07-27T14:00:00,Buy,Breakout,1.11294,1.11060,1.11060,1.11995,23.4,70.1,2000,-23.36,-4.8122,SL,4
2023-07-27T14:00:00,2023-07-27T19:00:00,Sell,Breakout,1.10070,1.09964,1.09964,1.08961,37.0,110.9,1000,+10.65,+0.9946,Trail,3
2023-07-27T19:00:00,2023-07-28T08:00:00,Sell,Breakout,1.09722,1.09674,1.09674,1.08645,35.9,107.7,1000,+4.76,+0.4061,Trail,10
2023-08-01T13:00:00,2023-08-01T14:00:00,Sell,Breakout,1.09553,1.09753,1.09753,1.08954,20.0,59.9,3000,-19.95,-6.1957,SL,1
2023-08-02T14:00:00,2023-08-02T15:00:00,Sell,Breakout,1.09491,1.09327,1.09327,1.08822,22.3,66.9,2000,+16.44,+3.1486,Trail,1
2023-08-02T15:00:00,2023-08-02T17:00:00,Sell,Breakout,1.09262,1.09504,1.09504,1.08536,24.2,72.6,2000,-24.21,-4.9816,SL,2
2023-08-04T13:00:00,2023-08-04T14:00:00,Buy,Breakout,1.09899,1.10151,1.10151,1.10566,22.2,66.7,2000,+25.17,+4.8936,Trail,1
2023-08-04T14:00:00,2023-08-04T16:00:00,Buy,Breakout,1.10132,1.10250,1.10250,1.10892,25.3,76.0,2000,+11.81,+2.2226,Trail,2
2023-08-04T16:00:00,2023-08-04T19:00:00,Buy,Breakout,1.10358,1.10088,1.10088,1.11167,27.0,80.9,2000,-26.97,-5.5334,SL,3
2023-08-08T11:00:00,2023-08-08T12:00:00,Sell,Breakout,1.09527,1.09501,1.09501,1.08927,20.0,60.0,3000,+2.56,+0.5570,Trail,1
2023-08-08T12:00:00,2023-08-08T20:00:00,Sell,Breakout,1.09403,1.09610,1.09610,1.08781,20.7,62.2,3000,-20.75,-6.4349,SL,8
2023-08-10T08:00:00,2023-08-10T09:00:00,Buy,Breakout,1.10093,1.10157,1.10157,1.10572,16.0,47.9,4000,+6.36,+2.2626,Trail,1
2023-08-10T11:00:00,2023-08-10T13:00:00,Buy,Breakout,1.10287,1.10542,1.10542,1.10775,16.3,48.8,3000,+25.46,+7.4277,Trail,2
2023-08-10T13:00:00,2023-08-10T14:00:00,Buy,Breakout,1.10432,1.10219,1.10219,1.11072,21.3,64.0,3000,-21.34,-6.6125,SL,1
2023-08-11T17:00:00,2023-08-11T20:00:00,Sell,Breakout,1.09454,1.09468,1.09713,1.08676,25.9,77.8,2000,-1.40,-0.4200,FriClose,3
2023-08-14T13:00:00,2023-08-14T14:00:00,Sell,Breakout,1.09046,1.08885,1.08885,1.08427,20.6,61.9,3000,+16.14,+4.6316,Trail,1
2023-08-14T14:00:00,2023-08-14T15:00:00,Sell,Breakout,1.08804,1.09031,1.09031,1.08124,22.7,68.0,2000,-22.68,-4.6764,SL,1
2023-08-16T17:00:00,2023-08-17T07:00:00,Sell,Breakout,1.08857,1.08759,1.08759,1.08221,21.2,63.6,3000,+9.77,+2.7206,Trail,14
2023-08-17T18:00:00,2023-08-18T01:00:00,Sell,Breakout,1.08600,1.08829,1.08829,1.07913,22.9,68.7,2000,-22.89,-4.7175,SL,7
2023-08-21T12:00:00,2023-08-21T13:00:00,Buy,Breakout,1.09104,1.08938,1.08938,1.09602,16.6,49.8,3000,-16.59,-5.1877,SL,1
2023-08-22T07:00:00,2023-08-22T08:00:00,Buy,Breakout,1.09189,1.09206,1.09206,1.09625,14.5,43.6,4000,+1.72,+0.4067,Trail,1
2023-08-22T08:00:00,2023-08-22T09:00:00,Buy,Breakout,1.09265,1.09116,1.09116,1.09711,14.9,44.6,4000,-14.87,-6.2279,SL,1
2023-08-22T13:00:00,2023-08-22T14:00:00,Sell,Breakout,1.08651,1.08541,1.08541,1.08074,19.2,57.7,3000,+10.97,+3.0811,Trail,1
2023-08-22T14:00:00,2023-08-23T07:00:00,Sell,Breakout,1.08426,1.08637,1.08637,1.07794,21.1,63.2,3000,-21.06,-6.5289,SL,17
2023-08-23T08:00:00,2023-08-23T12:00:00,Sell,Breakout,1.08169,1.08167,1.08167,1.07596,19.1,57.3,3000,+0.17,-0.1597,Trail,4
2023-08-25T08:00:00,2023-08-25T09:00:00,Sell,Breakout,1.07702,1.07877,1.07877,1.07177,17.5,52.5,3000,-17.50,-5.4610,SL,1
2023-08-29T17:00:00,2023-08-29T20:00:00,Buy,Breakout,1.08637,1.08759,1.08759,1.09357,24.0,72.0,2000,+12.20,+2.3001,Trail,3
