entry_time,exit_time,direction,strategy,entry_price,exit_price,sl_price,tp_price,sl_pips,tp_pips,volume_units,pnl_pips,pnl_usd,exit_reason,bars_held
2023-02-22T10:00:00,2023-02-22T11:00:00,Buy,MeanReversion,1.06259,1.06313,1.06313,1.06557,20.0,29.8,3000,+5.40,+1.4105,Trail,1
2023-02-23T09:00:00,2023-02-23T10:00:00,Buy,MeanReversion,1.05918,1.05967,1.05967,1.06251,20.0,33.3,3000,+4.94,+1.2712,Trail,1
2023-05-17T08:00:00,2023-05-17T09:00:00,Buy,MeanReversion,1.08327,1.08439,1.08439,1.08754,20.0,42.7,3000,+11.22,+3.1571,Trail,1
2023-05-17T09:00:00,2023-05-17T12:00:00,Buy,MeanReversion,1.08300,1.08373,1.08373,1.08711,20.0,41.1,3000,+7.29,+1.9785,Trail,2
2023-05-23T10:00:00,2023-05-23T15:00:00,Buy,MeanReversion,1.07822,1.07909,1.07909,1.08110,20.0,28.8,3000,+8.72,+2.4055,Trail,3
2023-05-24T11:00:00,2023-05-24T13:00:00,Buy,MeanReversion,1.07523,1.07966,1.07966,1.07769,20.0,24.6,3000,+44.32,+13.0862,Trail,1
2023-06-08T10:00:00,2023-06-08T13:00:00,Sell,MeanReversion,1.07277,1.07477,1.07477,1.07026,20.0,25.1,3000,-20.00,-6.2100,SL,2
2023-06-27T11:00:00,2023-06-27T14:00:00,Sell,MeanReversion,1.09503,1.09703,1.09703,1.09153,20.0,35.0,3000,-20.00,-6.2100,SL,1
2023-08-10T07:00:00,2023-08-10T08:00:00,Sell,MeanReversion,1.09932,1.10132,1.10132,1.09704,20.0,22.8,3000,-20.00,-6.2100,SL,1
2023-08-21T10:00:00,2023-08-21T11:00:00,Sell,MeanReversion,1.09005,1.08955,1.08955,1.08716,20.0,28.9,3000,+4.99,+1.2879,Trail,1
2023-08-21T12:00:00,2023-08-21T13:00:00,Sell,MeanReversion,1.09084,1.08976,1.08976,1.08749,20.0,33.5,3000,+10.83,+3.0385,Trail,1
2023-08-22T07:00:00,2023-08-22T09:00:00,Sell,MeanReversion,1.09169,1.09101,1.09101,1.08931,20.0,23.8,3000,+6.81,+1.8332,Trail,2
2023-09-05T07:00:00,2023-09-05T09:00:00,Buy,MeanReversion,1.07676,1.07476,1.07476,1.08025,20.0,34.9,3000,-20.00,-6.2100,SL,2
2023-09-19T12:00:00,2023-09-19T13:00:00,Sell,MeanReversion,1.07077,1.06977,1.06977,1.06812,20.0,26.5,3000,+10.01,+2.7919,Trail,1
2023-09-20T11:00:00,2023-09-20T12:00:00,Sell,MeanReversion,1.07021,1.07002,1.07002,1.06744,20.0,27.7,3000,+1.90,+0.3615,Trail,1
2023-09-25T09:00:00,2023-09-25T10:00:00,Buy,MeanReversion,1.06266,1.06330,1.06330,1.06532,20.0,26.6,3000,+6.38,+1.7035,Trail,1
2023-09-29T08:00:00,2023-09-29T12:00:00,Sell,MeanReversion,1.06052,1.05947,1.05947,1.05649,20.0,40.3,3000,+10.53,+2.9479,Trail,4
2023-10-31T08:00:00,2023-10-31T09:00:00,Sell,MeanReversion,1.06443,1.06399,1.06399,1.06093,20.0,35.0,3000,+4.37,+1.1015,Trail,1
2023-11-14T09:00:00,2023-11-14T13:00:00,Sell,MeanReversion,1.07146,1.07081,1.07081,1.06896,20.0,25.0,3000,+6.46,+1.7273,Trail,4
2023-12-12T09:00:00,2023-12-12T13:00:00,Sell,MeanReversion,1.07922,1.07771,1.07771,1.07557,20.0,36.5,3000,+15.08,+4.3137,Trail,4
2023-12-19T12:00:00,2023-12-19T13:00:00,Sell,MeanReversion,1.09676,1.09578,1.09578,1.09220,20.0,45.6,3000,+9.81,+2.7316,Trail,1
2023-12-27T09:00:00,2023-12-27T12:00:00,Sell,MeanReversion,1.10533,1.10513,1.10513,1.10281,20.0,25.2,3000,+1.97,+0.3797,Trail,3
2024-01-04T09:00:00,2024-01-04T10:00:00,Sell,MeanReversion,1.09665,1.09588,1.09588,1.09217,20.0,44.8,3000,+7.66,+2.0875,Trail,1
2024-01-05T07:00:00,2024-01-05T08:00:00,Buy,MeanReversion,1.09241,1.09041,1.09041,1.09540,20.0,29.9,3000,-20.00,-6.2100,SL,1
2024-01-24T09:00:00,2024-01-24T10:00:00,Sell,MeanReversion,1.09017,1.08976,1.08976,1.08519,20.0,49.8,3000,+4.14,+1.0326,Trail,1
2024-01-24T10:00:00,2024-01-24T12:00:00,Sell,MeanReversion,1.08967,1.08918,1.08918,1.08542,20.0,42.5,3000,+4.87,+1.2504,Trail,2
2024-01-29T09:00:00,2024-01-29T12:00:00,Buy,MeanReversion,1.08261,1.08333,1.08333,1.08582,20.0,32.1,3000,+7.25,+1.9637,Trail,3
2024-02-20T09:00:00,2024-02-20T13:00:00,Sell,MeanReversion,1.07967,1.08167,1.08167,1.07566,20.0,40.1,3000,-20.00,-6.2100,SL,4
2024-02-26T09:00:00,2024-02-26T12:00:00,Sell,MeanReversion,1.08389,1.08589,1.08589,1.08114,20.0,27.5,3000,-20.00,-6.2100,SL,3
2024-03-06T08:00:00,2024-03-06T12:00:00,Sell,MeanReversion,1.08721,1.08701,1.08701,1.08413,20.0,30.8,3000,+1.95,+0.3763,Trail,4
2024-03-18T11:00:00,2024-03-18T12:00:00,Sell,MeanReversion,1.09014,1.08920,1.08920,1.08749,20.0,26.5,3000,+9.37,+2.6001,Trail,1
2024-03-20T09:00:00,2024-03-20T12:00:00,Buy,MeanReversion,1.08400,1.08423,1.08423,1.08830,20.0,43.0,3000,+2.31,+0.4819,Trail,3
2024-03-28T07:00:00,2024-03-28T09:00:00,Buy,MeanReversion,1.08017,1.07817,1.07817,1.08333,20.0,31.6,3000,-20.00,-6.2100,SL,2
2024-04-09T11:00:00,2024-04-09T12:00:00,Sell,MeanReversion,1.08679,1.08618,1.08618,1.08479,20.0,20.0,3000,+6.10,+1.6212,Trail,1
