entry_time,exit_time,direction,strategy,entry_price,exit_price,sl_price,tp_price,sl_pips,tp_pips,volume_units,pnl_pips,pnl_usd,exit_reason,bars_held
2023-01-05T13:00:00,2023-01-05T15:00:00,Buy,MeanReversion,1.05531,1.05601,1.05601,1.06080,30.7,54.9,2000,+7.03,+1.2667,Trail,2
2023-01-05T15:00:00,2023-01-05T16:00:00,Buy,MeanReversion,1.05191,1.05236,1.05236,1.06007,34.8,81.6,2000,+4.49,+0.7581,Trail,1
2023-01-05T16:00:00,2023-01-05T18:00:00,Buy,MeanReversion,1.05219,1.05351,1.05351,1.05965,33.8,74.6,2000,+13.21,+2.5025,Trail,2
2023-01-12T13:00:00,2023-01-12T14:00:00,Sell,MeanReversion,1.08277,1.07589,1.07589,1.07636,31.3,64.1,2000,+68.79,+13.6175,Trail,1
2023-01-26T15:00:00,2023-01-26T16:00:00,Buy,MeanReversion,1.08561,1.08652,1.08652,1.09084,28.3,52.3,2000,+9.09,+1.6776,Trail,1
2023-01-27T15:00:00,2023-01-27T16:00:00,Buy,MeanReversion,1.08395,1.08611,1.08611,1.08796,26.4,40.1,2000,+21.55,+4.1702,Trail,1
2023-01-30T10:00:00,2023-01-30T11:00:00,Sell,MeanReversion,1.09095,1.08956,1.08956,1.08693,22.4,40.2,3000,+13.87,+3.9498,Trail,1
2023-02-01T13:00:00,2023-02-01T15:00:00,Sell,MeanReversion,1.09029,1.08930,1.08930,1.08722,19.3,30.7,3000,+9.89,+2.7564,Trail,2
2023-02-09T09:00:00,2023-02-09T13:00:00,Sell,MeanReversion,1.07624,1.07830,1.07830,1.07277,20.6,34.7,3000,-20.61,-6.3933,SL,4
2023-02-09T13:00:00,2023-02-09T14:00:00,Sell,MeanReversion,1.07885,1.07834,1.07834,1.07371,22.9,51.4,3000,+5.15,+1.3338,Trail,1
2023-02-10T11:00:00,2023-02-10T15:00:00,Buy,MeanReversion,1.06993,1.06754,1.06754,1.07316,23.9,32.3,3000,-23.91,-7.3826,SL,4
2023-02-10T15:00:00,2023-02-10T16:00:00,Buy,MeanReversion,1.06777,1.06806,1.06806,1.07198,26.6,42.1,2000,+2.89,+0.4381,Trail,1
2023-02-10T16:00:00,2023-02-10T20:00:00,Buy,MeanReversion,1.06696,1.06745,1.06745,1.07166,26.7,47.0,2000,+4.86,+0.8323,Trail,4
2023-02-13T18:00:00,2023-02-13T19:00:00,Sell,MeanReversion,1.07265,1.07212,1.07212,1.06841,22.9,42.4,3000,+5.25,+1.3650,Trail,1
2023-02-16T14:00:00,2023-02-16T15:00:00,Buy,MeanReversion,1.06637,1.06765,1.06765,1.06974,25.6,33.7,2000,+12.83,+2.4268,Trail,1
2023-02-22T10:00:00,2023-02-22T11:00:00,Buy,MeanReversion,1.06259,1.06313,1.06313,1.06553,19.7,29.4,3000,+5.40,+1.4105,Trail,1
2023-02-23T09:00:00,2023-02-23T10:00:00,Buy,MeanReversion,1.05918,1.05967,1.05967,1.06237,19.1,31.9,3000,+4.94,+1.2712,Trail,1
2023-02-23T16:00:00,2023-02-23T18:00:00,Buy,MeanReversion,1.05832,1.05877,1.05877,1.06156,22.5,32.4,3000,+4.54,+1.1534,Trail,1
2023-02-24T12:00:00,2023-02-24T14:00:00,Buy,MeanReversion,1.05671,1.05475,1.05475,1.05957,19.6,28.6,3000,-19.56,-6.0781,SL,1
2023-02-24T14:00:00,2023-02-24T16:00:00,Buy,MeanReversion,1.05485,1.05547,1.05547,1.05935,21.4,45.0,3000,+6.21,+1.6521,Trail,1
2023-02-24T16:00:00,2023-02-24T18:00:00,Buy,MeanReversion,1.05444,1.05499,1.05499,1.05908,22.0,46.4,3000,+5.47,+1.4306,Trail,1
2023-02-24T18:00:00,2023-02-24T20:00:00,Buy,MeanReversion,1.05462,1.05504,1.05504,1.05874,21.7,41.2,3000,+4.25,+1.0635,Trail,1
2023-02-28T14:00:00,2023-02-28T16:00:00,Sell,MeanReversion,1.06332,1.06052,1.06052,1.05969,22.5,36.3,3000,+27.96,+8.1779,Trail,1
2023-03-01T07:00:00,2023-03-01T08:00:00,Sell,MeanReversion,1.06405,1.06311,1.06311,1.05969,24.6,43.6,2000,+9.36,+1.7318,Trail,1
2023-03-01T08:00:00,2023-03-01T09:00:00,Sell,MeanReversion,1.06472,1.06435,1.06435,1.06001,25.3,47.1,2000,+3.69,+0.5978,Trail,1
2023-03-02T13:00:00,2023-03-02T15:00:00,Buy,MeanReversion,1.05868,1.06087,1.06087,1.06485,25.0,61.7,2000,+21.87,+4.2339,Trail,1
2023-03-02T17:00:00,2023-03-02T18:00:00,Buy,MeanReversion,1.05807,1.05875,1.05875,1.06424,27.9,61.7,2000,+6.80,+1.2202,Trail,1
2023-03-06T15:00:00,2023-03-06T19:00:00,Sell,MeanReversion,1.06775,1.06742,1.06742,1.06344,25.5,43.1,2000,+3.34,+0.5279,Trail,2
2023-03-07T17:00:00,2023-03-08T02:00:00,Buy,MeanReversion,1.05680,1.05387,1.05387,1.06704,29.3,102.4,2000,-29.28,-5.9960,SL,6
2023-03-09T18:00:00,2023-03-09T21:00:00,Sell,MeanReversion,1.05885,1.05801,1.05801,1.05550,21.8,33.5,3000,+8.41,+2.3138,Trail,1
2023-03-10T14:00:00,2023-03-10T18:00:00,Sell,MeanReversion,1.06652,1.06467,1.06467,1.05892,30.3,76.0,2000,+18.52,+3.5640,Trail,2
2023-03-20T14:00:00,2023-03-20T16:00:00,Sell,MeanReversion,1.07257,1.07144,1.07144,1.06693,32.9,56.4,2000,+11.32,+2.1244,Trail,1
2023-03-20T16:00:00,2023-03-21T06:00:00,Sell,MeanReversion,1.07241,1.07114,1.07114,1.06739,32.7,50.2,2000,+12.67,+2.3941,Trail,10
2023-03-21T10:00:00,2023-03-22T09:00:00,Sell,MeanReversion,1.07623,1.07870,1.07870,1.07150,24.7,47.3,3000,-24.67,-7.6118,SL,16
2023-03-30T09:00:00,2023-03-30T10:00:00,Sell,MeanReversion,1.08720,1.08643,1.08643,1.08407,22.7,31.3,3000,+7.70,+2.1014,Trail,1
2023-03-30T12:00:00,2023-03-30T14:00:00,Sell,MeanReversion,1.08777,1.09012,1.09012,1.08447,23.5,33.0,3000,-23.50,-7.2593,SL,1
2023-03-30T14:00:00,2023-03-30T16:00:00,Sell,MeanReversion,1.09159,1.09007,1.09007,1.08489,26.9,67.0,2000,+15.22,+2.9043,Trail,1
2023-03-30T16:00:00,2023-03-31T02:00:00,Sell,MeanReversion,1.08969,1.09243,1.09243,1.08508,27.4,46.1,2000,-27.40,-5.6195,SL,6
2023-04-10T13:00:00,2023-04-10T20:00:00,Buy,MeanReversion,1.08499,1.08581,1.08581,1.09066,20.6,56.7,3000,+8.20,+2.2497,Trail,3
2023-04-12T13:00:00,2023-04-12T16:00:00,Sell,MeanReversion,1.09628,1.09871,1.09871,1.09217,24.3,41.1,3000,-24.26,-7.4887,SL,1
